Name,total_points_earned,finish_time_sum_hours,finish_distinct_map_count,finish_map_count,finish_points_total,finish_race_point,finish_solo_point,finish_ddmax_point,finish_dummy_point,finish_brutal_point,finish_insane_point,finish_novice_point,finish_moderate_point,finish_oldschool_point,finish_fun_point,finish_race_new_map_count,finish_solo_new_map_count,finish_ddmax_new_map_count,finish_dummy_new_map_count,finish_brutal_new_map_count,finish_insane_new_map_count,finish_novice_new_map_count,finish_moderate_new_map_count,finish_oldschool_new_map_count,finish_fun_new_map_count,finish_fun_map_count,finish_race_map_count,finish_solo_map_count,finish_ddmax_map_count,finish_dummy_map_count,finish_brutal_map_count,finish_insane_map_count,finish_novice_map_count,finish_moderate_map_count,finish_oldschool_map_count,most_finished_map_2021,map_finished_count,most_finished_map_2021_spend_minues
猫,7297,587.16972222222216,625,844,8394,38,336,1548,205,1983,0,270,2323,594,0,10,51,127,14,98,0,84,191,49,1,0,44,416,1600,265,2079,0,765,2619,606,Sunny Side Up,17,136.74766666666667
Eng,7109,518.3709166666664,751,952,8352,74,520,2588,275,564,0,334,2148,606,0,30,76,246,20,30,0,100,188,60,1,0,80,604,3024,335,564,0,507,2602,636,run_orange,7,1.3050000000000002
MingYue,7092,531.64512222222243,851,1187,8464,110,792,2060,370,777,0,490,2187,306,0,42,112,231,27,41,0,148,201,41,8,0,122,996,2164,425,795,0,994,2584,384,Sunny Side Up,18,71.122
Rotator,7068,420.35252222222226,676,816,8136,38,396,2024,365,1170,38,306,2269,462,0,15,61,188,25,59,1,88,201,36,2,0,42,620,2176,405,1206,38,364,2799,486,Jajpack,37,6.6893333333333338
cgg,7013,681.20413333333386,797,1167,9004,70,420,2688,345,342,0,378,2416,354,0,31,71,277,26,18,0,111,218,42,3,0,112,656,3348,395,360,0,692,3051,390,Volt,18,18.438
直叶,6984,824.96338333333358,796,1164,9932,10,512,2588,400,342,0,495,2403,234,0,6,77,265,29,17,0,150,219,30,3,0,10,548,3848,660,342,0,848,3364,312,Kobra,24,984.57766666666669
踢,6979,610.92935555555516,714,957,8234,6,140,2484,200,1536,0,458,1885,270,0,3,23,254,15,76,0,138,175,30,0,0,8,140,2812,230,1593,0,926,2171,354,Goo!,10,179.90966666666668
Over,6917,648.36352777777768,772,1185,8945,18,492,2116,485,714,0,490,2236,366,0,8,78,225,34,37,0,149,202,37,2,0,20,672,2348,535,735,0,1215,3024,396,luminati,18,390.00366666666662
鲜血配色,6883,548.47468333333336,792,1028,8073,32,1148,1620,400,723,0,490,2092,378,0,12,151,182,29,37,0,148,192,39,2,0,32,1268,1764,465,741,0,1027,2386,390,Sunny Side Up,9,59.975333333333339
diejob,6863,668.06128888888907,753,989,7876,10,240,2344,165,912,0,495,2271,426,0,3,43,243,14,47,0,150,207,43,3,0,10,284,2432,220,912,0,1097,2465,456,Multeasymap,21,542.32900000000006
Novice小慕情,6817,552.20735555555564,723,867,8210,24,388,2072,500,1002,0,492,2153,186,0,9,58,205,35,52,0,149,193,20,2,0,24,436,2196,635,1089,0,597,3041,192,lumine,28,549.07499999999993
BLACK-D,6805,633.58131666666668,813,1040,7780,42,608,2700,375,96,0,486,2150,348,0,19,92,278,28,5,0,147,200,43,1,0,48,732,2968,400,96,0,871,2299,366,LearnToPlay,9,222.21200000000002
菠萝大大,6707,713.03480555555541,739,804,7040,18,200,2336,260,621,0,495,2357,420,0,8,34,239,20,33,0,150,209,46,0,0,24,224,2392,270,639,0,602,2457,432,Moventer,6,200.42066666666665
ecips,6682,441.75601111111075,745,1007,8147,48,296,2116,515,636,0,494,2265,312,0,14,45,223,37,33,0,149,207,37,0,0,52,360,2308,525,654,0,1026,2886,336,BlueChaos,7,81.81
情,6634,503.07257777777755,782,1060,8160,36,424,2148,500,345,0,495,2440,246,0,18,68,236,35,18,0,150,220,31,6,0,44,580,2484,545,345,0,831,3079,252,DVD screensaver,15,0.7629999999999999
沐晨：,6591,624.34884999999974,720,846,7287,8,356,2368,270,939,0,477,2029,144,0,4,63,235,21,48,0,146,183,20,0,0,8,424,2540,290,981,0,705,2189,150,Kobra,4,209.30933333333331
sky空,6583,495.2913777777776,717,1047,8347,26,500,1228,820,990,0,495,2356,168,0,13,81,132,52,51,0,150,214,21,3,0,32,720,1284,1030,1104,0,1041,2884,252,Kobra,41,1841.9273333333335
知念实也,6563,754.97528333333355,787,1597,10726,46,972,2064,445,285,0,495,2028,228,0,22,129,223,32,14,0,150,188,29,0,0,48,1968,2428,795,369,0,2006,2848,264,Epix,44,1639.288
Broniya,6527,385.49296111111113,695,977,8068,84,452,1720,180,1170,0,373,2404,144,0,32,70,177,12,59,0,113,210,20,2,0,132,820,1948,280,1170,0,614,2942,162,Trackmania,29,23.589333333333329
猪队友,6527,658.09499999999991,719,1044,8273,28,252,2188,225,795,0,412,2291,336,0,16,43,229,17,42,0,123,207,37,5,0,38,300,2416,305,834,0,892,3104,384,Sunny Side Up,23,145.67133333333334
Dust fall,6522,542.69510555555507,679,1048,8978,24,384,2112,430,870,0,403,2071,228,0,11,59,208,30,44,0,116,183,28,0,0,32,512,2524,745,888,0,1053,2954,270,Cartoon,12,144.79699999999997
鹿麋,6521,662.74475,736,1080,8101,10,456,2056,465,813,0,495,1938,288,0,5,70,217,33,41,0,150,180,37,3,0,10,544,2304,545,813,0,1206,2355,324,Linear,11,14.371333333333332
十八,6516,584.10415555555517,780,1170,8683,58,524,2488,420,171,0,429,2108,318,0,26,85,261,30,9,0,128,198,41,2,0,80,768,3108,730,171,0,857,2603,366,run_ankii,24,5.5166666666666666
白墨,6471,442.17558333333346,568,646,6868,92,472,1768,365,1416,0,173,1921,264,0,34,67,142,24,71,0,46,159,23,2,0,98,572,1776,365,1470,0,244,2073,270,Sunny Side Up,17,152.577
rhino,6432,284.4767999999998,423,585,7529,8,832,936,185,2622,220,23,1162,444,0,2,81,71,10,120,6,6,94,32,1,0,10,1628,948,185,2706,330,26,1246,450,Buckle Up,36,8.777666666666665
比二念着倒,6362,576.31848888888874,677,807,7262,2,192,1584,335,1296,0,465,1888,600,0,1,37,175,25,66,0,139,174,60,0,0,2,212,1652,375,1386,0,691,2320,624,Sunny Land,9,1162.8683333333333
Doc带你飞,6341,542.96912222222238,607,682,6837,6,204,2160,340,696,0,191,2576,168,0,2,37,212,23,37,0,48,222,23,3,0,6,240,2264,355,714,0,276,2814,168,Kobra,7,266.6346666666667
可口,6261,503.75606111111119,647,749,7088,2,84,2388,100,678,0,362,2221,426,0,1,13,236,8,36,0,112,195,45,1,0,2,88,2552,100,678,0,474,2738,456,lumine,10,353.235
卅白,6255,796.12232222222246,776,1353,8649,58,564,2020,385,324,0,495,2139,270,0,29,90,225,29,17,0,150,197,34,5,0,68,840,2256,450,324,0,1880,2537,294,Epix,58,1728.5953333333332
ke,6237,467.22758888888887,692,849,7261,8,280,1832,295,900,0,460,2216,246,0,5,47,199,21,47,0,141,198,30,4,0,8,320,1864,335,918,0,679,2861,276,luminati,11,369.245
NPWilde,6149,632.635105555555,790,1283,8226,116,764,2236,415,78,0,495,1787,258,0,43,109,247,30,4,0,150,171,32,4,0,124,1144,2492,450,78,0,1614,2042,282,Jajpack,23,4.3416666666666668
